job_name,job_description,academic_requirements,opening_date,closing_date
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Associate Degree,2025-01-18,2025-03-20
Mechanic,"Looking for a skilled mechanic to inspect, repair, and maintain vehicles. Hands-on experience with vehicle diagnostics and repairs is mandatory.",Bachelor's Degree,2025-01-18,2025-03-01
Electrician,"We are hiring an electrician to install, maintain, and repair electrical systems in residential, commercial, and industrial settings. A valid electrician's license is required.",PhD,2025-01-18,2025-06-05
Sales manager,"We need a dynamic sales manager to lead our sales team, set sales goals, and build strong relationships with clients. Experience in sales and excellent leadership skills are a must.",High School,2025-01-18,2025-03-03
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Bachelor's Degree,2025-01-18,2025-03-31
It support specialist,Perform tasks and responsibilities relevant to this profession.,Associate Degree,2025-01-18,2025-04-05
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",PhD,2025-01-18,2025-04-17
Electrician,"We are hiring an electrician to install, maintain, and repair electrical systems in residential, commercial, and industrial settings. A valid electrician's license is required.",PhD,2025-01-18,2025-04-02
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",Associate Degree,2025-01-18,2025-04-23
Customer service representative,"We are hiring a customer service representative to assist clients, handle inquiries, and resolve issues. Strong communication skills and a friendly demeanor are essential.",Bachelor's Degree,2025-01-18,2025-05-23
Architect,"Looking for an architect to design, plan, and oversee construction of buildings and structures. A degree in architecture and knowledge of building codes are required.",Master's Degree,2025-01-18,2025-05-14
Nanny,"Hiring a professional nanny to care for children, provide educational activities, and ensure their safety. Experience with children and a background check are required.",High School,2025-01-18,2025-05-21
Web developer,"Looking for a web developer to design and implement websites and web applications. Proficiency in HTML, CSS, JavaScript, and other web development technologies is required.",PhD,2025-01-18,2025-03-02
Civil engineer,"We are hiring a civil engineer to design and oversee construction projects such as buildings, roads, and bridges. Experience with CAD software and knowledge of safety regulations are required.",Associate Degree,2025-01-18,2025-05-27
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",High School,2025-01-18,2025-04-02
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Associate Degree,2025-01-18,2025-05-28
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",PhD,2025-01-18,2025-03-29
Financial analyst,"Looking for a financial analyst to assess financial data, prepare reports, and help guide business decisions. Strong analytical and Excel skills are required.",Associate Degree,2025-01-18,2025-05-06
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",PhD,2025-01-18,2025-03-08
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",Master's Degree,2025-01-18,2025-03-23
Business analyst,"Looking for a business analyst to analyze company operations, identify inefficiencies, and propose improvements. Experience with data analysis and project management tools is required.",PhD,2025-01-18,2025-05-11
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Associate Degree,2025-01-18,2025-05-22
Hr specialist,Perform tasks and responsibilities relevant to this profession.,Associate Degree,2025-01-18,2025-06-17
Pharmacist,"Seeking a pharmacist to dispense medications, provide advice on proper usage, and monitor patient prescriptions. A degree in pharmacy and a valid license are required.",Associate Degree,2025-01-18,2025-04-12
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",Associate Degree,2025-01-18,2025-06-01
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",High School,2025-01-18,2025-04-17
Chef,Hiring a professional chef to prepare and present high-quality meals. Experience in kitchen management and maintaining food safety standards is essential.,Bachelor's Degree,2025-01-18,2025-05-17
Chef,Hiring a professional chef to prepare and present high-quality meals. Experience in kitchen management and maintaining food safety standards is essential.,High School,2025-01-18,2025-03-16
Accountant,"Join our finance team as an accountant. Responsibilities include preparing financial reports, managing budgets, and ensuring compliance with tax regulations.",Associate Degree,2025-01-18,2025-06-11
Project manager,"We are looking for a project manager to oversee the planning, implementation, and completion of projects. Experience with budgeting, scheduling, and managing cross-functional teams is essential.",High School,2025-01-18,2025-07-01
Software engineer,"Join our team as a software engineer! Responsibilities include developing, testing, and maintaining software applications, collaborating with cross-functional teams, and ensuring high-quality code delivery.",Master's Degree,2025-01-18,2025-04-24
Project manager,"We are looking for a project manager to oversee the planning, implementation, and completion of projects. Experience with budgeting, scheduling, and managing cross-functional teams is essential.",High School,2025-01-18,2025-06-11
It support specialist,Perform tasks and responsibilities relevant to this profession.,PhD,2025-01-18,2025-04-04
Account manager,"Seeking an account manager to build and maintain strong relationships with clients, ensure client satisfaction, and manage project timelines. Experience in client-facing roles is required.",High School,2025-01-18,2025-03-02
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",Master's Degree,2025-01-18,2025-05-18
Hr specialist,Perform tasks and responsibilities relevant to this profession.,Associate Degree,2025-01-18,2025-04-25
Account manager,"Seeking an account manager to build and maintain strong relationships with clients, ensure client satisfaction, and manage project timelines. Experience in client-facing roles is required.",Associate Degree,2025-01-18,2025-07-15
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Master's Degree,2025-01-18,2025-06-29
Electrician,"We are hiring an electrician to install, maintain, and repair electrical systems in residential, commercial, and industrial settings. A valid electrician's license is required.",High School,2025-01-18,2025-03-11
Pharmacist,"Seeking a pharmacist to dispense medications, provide advice on proper usage, and monitor patient prescriptions. A degree in pharmacy and a valid license are required.",Associate Degree,2025-01-18,2025-06-28
Electrician,"We are hiring an electrician to install, maintain, and repair electrical systems in residential, commercial, and industrial settings. A valid electrician's license is required.",High School,2025-01-18,2025-07-08
Account manager,"Seeking an account manager to build and maintain strong relationships with clients, ensure client satisfaction, and manage project timelines. Experience in client-facing roles is required.",Bachelor's Degree,2025-01-18,2025-03-20
Civil engineer,"We are hiring a civil engineer to design and oversee construction projects such as buildings, roads, and bridges. Experience with CAD software and knowledge of safety regulations are required.",PhD,2025-01-18,2025-05-16
Pharmacist,"Seeking a pharmacist to dispense medications, provide advice on proper usage, and monitor patient prescriptions. A degree in pharmacy and a valid license are required.",Associate Degree,2025-01-18,2025-05-18
Customer service representative,"We are hiring a customer service representative to assist clients, handle inquiries, and resolve issues. Strong communication skills and a friendly demeanor are essential.",Bachelor's Degree,2025-01-18,2025-03-24
Chef,Hiring a professional chef to prepare and present high-quality meals. Experience in kitchen management and maintaining food safety standards is essential.,Master's Degree,2025-01-18,2025-03-08
Mechanic,"Looking for a skilled mechanic to inspect, repair, and maintain vehicles. Hands-on experience with vehicle diagnostics and repairs is mandatory.",PhD,2025-01-18,2025-07-04
Web developer,"Looking for a web developer to design and implement websites and web applications. Proficiency in HTML, CSS, JavaScript, and other web development technologies is required.",High School,2025-01-18,2025-06-30
Editor,"We are hiring an editor to review and edit content for clarity, grammar, and consistency. Experience in editing and strong attention to detail are required.",Bachelor's Degree,2025-01-18,2025-05-22
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",High School,2025-01-18,2025-05-25
Software engineer,"Join our team as a software engineer! Responsibilities include developing, testing, and maintaining software applications, collaborating with cross-functional teams, and ensuring high-quality code delivery.",Master's Degree,2025-01-18,2025-05-21
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Master's Degree,2025-01-18,2025-04-02
Hr specialist,Perform tasks and responsibilities relevant to this profession.,Bachelor's Degree,2025-01-18,2025-03-22
Editor,"We are hiring an editor to review and edit content for clarity, grammar, and consistency. Experience in editing and strong attention to detail are required.",Associate Degree,2025-01-18,2025-07-04
Software engineer,"Join our team as a software engineer! Responsibilities include developing, testing, and maintaining software applications, collaborating with cross-functional teams, and ensuring high-quality code delivery.",PhD,2025-01-18,2025-04-20
Pharmacist,"Seeking a pharmacist to dispense medications, provide advice on proper usage, and monitor patient prescriptions. A degree in pharmacy and a valid license are required.",High School,2025-01-18,2025-04-13
Civil engineer,"We are hiring a civil engineer to design and oversee construction projects such as buildings, roads, and bridges. Experience with CAD software and knowledge of safety regulations are required.",High School,2025-01-18,2025-03-24
Nurse,"Seeking a registered nurse to provide direct patient care, monitor health conditions, administer medications, and collaborate with medical teams. Compassion and attention to detail are essential.",PhD,2025-01-18,2025-05-20
Accountant,"Join our finance team as an accountant. Responsibilities include preparing financial reports, managing budgets, and ensuring compliance with tax regulations.",Associate Degree,2025-01-18,2025-06-16
Pharmacist,"Seeking a pharmacist to dispense medications, provide advice on proper usage, and monitor patient prescriptions. A degree in pharmacy and a valid license are required.",PhD,2025-01-18,2025-04-27
Hr specialist,Perform tasks and responsibilities relevant to this profession.,Associate Degree,2025-01-18,2025-03-23
Civil engineer,"We are hiring a civil engineer to design and oversee construction projects such as buildings, roads, and bridges. Experience with CAD software and knowledge of safety regulations are required.",Associate Degree,2025-01-18,2025-05-04
Data analyst,"Hiring a data analyst to collect, process, and analyze data to provide actionable insights. Proficiency in data visualization tools and SQL is required.",Bachelor's Degree,2025-01-18,2025-03-08
Business analyst,"Looking for a business analyst to analyze company operations, identify inefficiencies, and propose improvements. Experience with data analysis and project management tools is required.",Master's Degree,2025-01-18,2025-03-30
Financial analyst,"Looking for a financial analyst to assess financial data, prepare reports, and help guide business decisions. Strong analytical and Excel skills are required.",Bachelor's Degree,2025-01-18,2025-05-16
Nurse,"Seeking a registered nurse to provide direct patient care, monitor health conditions, administer medications, and collaborate with medical teams. Compassion and attention to detail are essential.",PhD,2025-01-18,2025-07-01
It support specialist,Perform tasks and responsibilities relevant to this profession.,Master's Degree,2025-01-18,2025-07-06
Business analyst,"Looking for a business analyst to analyze company operations, identify inefficiencies, and propose improvements. Experience with data analysis and project management tools is required.",Bachelor's Degree,2025-01-18,2025-04-02
Account manager,"Seeking an account manager to build and maintain strong relationships with clients, ensure client satisfaction, and manage project timelines. Experience in client-facing roles is required.",Associate Degree,2025-01-18,2025-07-01
Project manager,"We are looking for a project manager to oversee the planning, implementation, and completion of projects. Experience with budgeting, scheduling, and managing cross-functional teams is essential.",High School,2025-01-18,2025-05-22
Graphic designer,Looking for a creative graphic designer to produce engaging visuals for digital and print media. Proficiency in design software and a strong portfolio are required.,High School,2025-01-18,2025-06-07
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",Bachelor's Degree,2025-01-18,2025-03-15
Pharmacist,"Seeking a pharmacist to dispense medications, provide advice on proper usage, and monitor patient prescriptions. A degree in pharmacy and a valid license are required.",Associate Degree,2025-01-18,2025-07-06
It support specialist,Perform tasks and responsibilities relevant to this profession.,Master's Degree,2025-01-18,2025-03-03
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Bachelor's Degree,2025-01-18,2025-05-07
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Bachelor's Degree,2025-01-18,2025-03-19
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Master's Degree,2025-01-18,2025-06-21
Graphic designer,Looking for a creative graphic designer to produce engaging visuals for digital and print media. Proficiency in design software and a strong portfolio are required.,Master's Degree,2025-01-18,2025-04-09
Teacher,"We are looking for a qualified teacher to plan and deliver lessons, assess student progress, and create a supportive learning environment. The ideal candidate should have excellent communication and organizational skills.",High School,2025-01-18,2025-06-14
Data analyst,"Hiring a data analyst to collect, process, and analyze data to provide actionable insights. Proficiency in data visualization tools and SQL is required.",Associate Degree,2025-01-18,2025-03-10
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",Master's Degree,2025-01-18,2025-04-13
Nurse,"Seeking a registered nurse to provide direct patient care, monitor health conditions, administer medications, and collaborate with medical teams. Compassion and attention to detail are essential.",Bachelor's Degree,2025-01-18,2025-05-06
Web developer,"Looking for a web developer to design and implement websites and web applications. Proficiency in HTML, CSS, JavaScript, and other web development technologies is required.",Bachelor's Degree,2025-01-18,2025-06-07
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",High School,2025-01-18,2025-05-18
Project manager,"We are looking for a project manager to oversee the planning, implementation, and completion of projects. Experience with budgeting, scheduling, and managing cross-functional teams is essential.",Bachelor's Degree,2025-01-18,2025-05-25
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",Master's Degree,2025-01-18,2025-05-16
Business analyst,"Looking for a business analyst to analyze company operations, identify inefficiencies, and propose improvements. Experience with data analysis and project management tools is required.",High School,2025-01-18,2025-06-26
Graphic designer,Looking for a creative graphic designer to produce engaging visuals for digital and print media. Proficiency in design software and a strong portfolio are required.,Associate Degree,2025-01-18,2025-05-24
Web developer,"Looking for a web developer to design and implement websites and web applications. Proficiency in HTML, CSS, JavaScript, and other web development technologies is required.",Bachelor's Degree,2025-01-18,2025-07-08
Financial analyst,"Looking for a financial analyst to assess financial data, prepare reports, and help guide business decisions. Strong analytical and Excel skills are required.",Bachelor's Degree,2025-01-18,2025-06-26
Business analyst,"Looking for a business analyst to analyze company operations, identify inefficiencies, and propose improvements. Experience with data analysis and project management tools is required.",Bachelor's Degree,2025-01-18,2025-07-05
Customer service representative,"We are hiring a customer service representative to assist clients, handle inquiries, and resolve issues. Strong communication skills and a friendly demeanor are essential.",Associate Degree,2025-01-18,2025-05-29
Architect,"Looking for an architect to design, plan, and oversee construction of buildings and structures. A degree in architecture and knowledge of building codes are required.",Associate Degree,2025-01-18,2025-07-17
Graphic designer,Looking for a creative graphic designer to produce engaging visuals for digital and print media. Proficiency in design software and a strong portfolio are required.,Associate Degree,2025-01-18,2025-06-26
Nurse,"Seeking a registered nurse to provide direct patient care, monitor health conditions, administer medications, and collaborate with medical teams. Compassion and attention to detail are essential.",PhD,2025-01-18,2025-03-06
Hr specialist,Perform tasks and responsibilities relevant to this profession.,Master's Degree,2025-01-18,2025-06-18
Teacher,"We are looking for a qualified teacher to plan and deliver lessons, assess student progress, and create a supportive learning environment. The ideal candidate should have excellent communication and organizational skills.",High School,2025-01-18,2025-03-27
Mechanic,"Looking for a skilled mechanic to inspect, repair, and maintain vehicles. Hands-on experience with vehicle diagnostics and repairs is mandatory.",PhD,2025-01-18,2025-03-28
Project manager,"We are looking for a project manager to oversee the planning, implementation, and completion of projects. Experience with budgeting, scheduling, and managing cross-functional teams is essential.",PhD,2025-01-18,2025-05-04
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",Associate Degree,2025-01-18,2025-07-10
Machine Learning Engineer,"We need a machine learning engineer who is proficient in Python and good at making models and software",Bachelor's Degree,2025-01-18,2025-03-28